,season,team,line,over_odds,under_odds
624,2023,MIN,8.5,-140,120
625,2023,SEA,9,-105,-115
626,2023,PIT,9,-115,-105
627,2023,CAR,7.5,-120,100
628,2023,CHI,7.5,-125,105
629,2023,GB,7.5,-120,100
630,2023,NE,7.5,100,-120
631,2023,NYG,7.5,-110,-110
632,2023,TEN,7.5,110,-130
633,2023,IND,6.5,-125,105
634,2023,LAR,6.5,100,-120
635,2023,OAK,7.5,170,-190
636,2023,TB,6.5,120,-140
637,2023,WAS,6.5,-110,-120
638,2023,HOU,6.5,120,-140
639,2023,ARI,4.5,-115,-105
640,2024,KC,11.5,109,-128
641,2024,SF,11.5,100,-122
642,2024,BAL,11.5,180,-218
643,2024,CIN,10.5,116,-138
644,2024,DET,10.5,-110,-106
645,2024,PHI,10.5,-144,121
646,2024,DAL,10.5,134,-161
647,2024,BUF,10.5,149,-179
648,2024,GB,9.5,-128,108
649,2024,HOU,9.5,-122,103
650,2024,ATL,9.5,-144,121
651,2024,MIA,9.5,-167,139
652,2024,NYJ,9.5,-160,134
653,2024,CHI,8.5,-184,153
654,2024,LAC,8.5,-137,118
655,2024,LAR,8.5,-159,133
656,2024,CLE,8.5,-178,148
657,2024,JAX,8.5,-106,-112
658,2024,IND,8.5,119,-143
659,2024,PIT,7.5,-184,148
660,2024,TB,8.5,156,-188
661,2024,SEA,7.5,-164,137
662,2024,NO,7.5,109,-130
663,2024,MIN,6.5,-145,121
664,2024,ARI,6.5,-141,118
665,2024,OAK,6.5,-118,101
666,2024,WAS,6.5,105,-123
667,2024,TEN,6.5,123,-147
668,2024,NYG,6.5,121,-142
669,2024,DEN,5.5,-157,134
670,2024,NE,4.5,-139,117
671,2024,CAR,4.5,-260,212
672,2025,KC,11.5,100,-120
673,2025,BAL,11.5,-110,-102
674,2025,PHI,11.5,-118,-102
675,2025,BUF,11.5,-160,135
676,2025,SF,10.5,110,-130
677,2025,DET,10.5,-110,-110
678,2025,CIN,9.5,-150,125
679,2025,GB,9.5,100,-120
680,2025,HOU,9.5,100,-120
681,2025,LAC,9.5,-110,-110
682,2025,LAR,9.5,-145,120
683,2025,TB,9.5,105,-125
684,2025,WAS,9.5,-120,100
685,2025,DEN,9.5,100,-120
686,2025,MIA,8.5,130,-155
687,2025,CHI,8.5,-102,-118
688,2025,PIT,8.5,100,-120
689,2025,SEA,8.5,115,-140
690,2025,MIN,8.5,-155,130
691,2025,ARI,8.5,-110,-110
692,2025,NE,8.5,-110,-110
693,2025,DAL,7.5,145,120
694,2025,ATL,7.5,-145,120
695,2025,JAX,7.5,-125,105
696,2025,IND,7.5,-110,-110
697,2025,NO,6.5,170,-210
698,2025,OAK,6.5,-145,120
699,2025,CAR,6.5,-115,-105
700,2025,NYJ,5.5,-155,130
701,2025,TEN,5.5,-150,125
702,2025,NYG,5.5,120,-145
703,2025,CLE,4.5,-160,135
